id,scenario,mobility,router,nodes,ttl,seed,buffer_size,message_interval,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[65139]_[50M]_[5,25]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[65139]_[50M]_[5,25]",MANET,EpidemicOracle,400,300,65139,50,"5,25",21600,1444,1988941,1988941,0,1797748,125251,1043,0.7223,0,1905.9425,2626.9664,2279,9.8754,8,609.1882,445,6284.74707885416,6227.00084210589,3.21135910804453
"MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[3136]_[100M]_[60, 120]","MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[3136]_[100M]_[60, 120]",MANET,EpidemicOracle,200,300,3136,100,"60, 120",21600,240,55015,55015,0,0,18926,211,0.8792,0,259.7346,2684.7915,2561,4.9526,5,1048.2396,825,6671.14690944689,6777.2554206762,2.98639284305292
"MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[22]_[200M]_[5,25]","MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[22]_[200M]_[5,25]",MANET,EpidemicOracle,200,300,22,200,"5,25",21600,1454,609589,609589,0,359299,113226,1260,0.8666,0,482.8008,2677.9984,2553,4.9889,5,3062.4154,1655,6348.56076382436,6322.52155293973,2.91594356555253
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[28749]_[100M]_[25,35]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[28749]_[100M]_[25,35]",MANET,EpidemicOracle,400,300,28749,100,"25,35",21600,729,1268641,1268641,0,1005853,123344,662,0.9081,0,1915.3761,1858.2613,1837,5.9713,6,1550.4442,850,6353.97620882668,6355.26857419461,3.91392749377714
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[11131]_[100M]_[60, 120]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[11131]_[100M]_[60, 120]",MANET,EpidemicOracle,400,300,11131,100,"60, 120",21600,241,125131,125131,0,0,45686,219,0.9087,0,570.3744,1817.1233,1730,5.4886,5,681.643,560,6658.30607631198,6687.33950440455,4.17400663346374
"MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[79009]_[150M]_[60, 120]","MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[79009]_[150M]_[60, 120]",MANET,EpidemicOracle,200,300,79009,150,"60, 120",21600,240,54902,54902,0,0,19414,205,0.8542,0,266.8146,2774.3415,2747,4.922,5,1085.9525,880,6245.14961488279,6219.4969854615,2.76226464591847
"MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[11131]_[200M]_[5,25]","MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[11131]_[200M]_[5,25]",MANET,EpidemicOracle,200,300,11131,200,"5,25",21600,1454,610318,610318,0,353328,118883,1275,0.8769,0,477.6808,2733.8141,2676,5.0651,5,3051.505,1800,6214.90291264243,6175.70713699093,2.76578530519056
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[5327]_[200M]_[25,35]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[5327]_[200M]_[25,35]",MANET,EpidemicOracle,100,300,5327,200,"25,35",21600,728,67174,67174,0,0,25390,553,0.7596,0,120.472,4894.4087,4773,4.1881,4,1895.6439,1565,6563.78958376221,6620.97124290541,1.73617403060383
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[4029]_[50M]_[25,35]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[4029]_[50M]_[25,35]",MANET,EpidemicOracle,400,300,4029,50,"25,35",21600,729,1469397,1469397,0,1310832,89763,619,0.8491,0,2372.8239,2183.1858,2000,8.2019,7,773.3997,530,6280.6402141568,6234.94080934741,3.54663120603153
"MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[96617]_[200M]_[25,35]","MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[96617]_[200M]_[25,35]",MANET,EpidemicOracle,600,300,96617,200,"25,35",21600,728,580397,580397,0,0,199575,684,0.9396,0,847.5336,1445.5146,1394,5.7237,6,528.2833,415,6351.72139853221,6321.32090729354,5.03599322890871
