id,scenario,mobility,router,nodes,ttl,seed,buffer_size,message_interval,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[80454]_[50M]_[60, 120]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[80454]_[50M]_[60, 120]_w[3]",MANET,MaxProp,400,300,80454,50,"60, 120",21600,241,51636,51505,119,0,47104,212,0.8797,0,241.9481,2503.1132,2431,4.1085,4,1724.2221,1560,5956.29257843692,6065.10512586976,3.13516132618517
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[5481]_[150M]_[35,60]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[5481]_[150M]_[35,60]_w[3]",MANET,MaxProp,200,300,5481,150,"35,60",21600,458,15416,15341,73,11,12030,299,0.6528,0,50.3077,5737.1706,5446,2.8495,3,3529.3718,3085,6553.20315188326,6501.41923862295,1.65358851221035
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[78051]_[200M]_[35,60]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[78051]_[200M]_[35,60]_w[3]",MANET,MaxProp,200,300,78051,200,"35,60",21600,458,15318,15232,79,50,11914,299,0.6528,0,49.9431,5486.8696,5124,2.893,3,3577.4096,3225,6087.54177053925,5915.42990942854,1.62478807457346
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[15598]_[150M]_[60, 120]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[15598]_[150M]_[60, 120]_w[3]",MANET,MaxProp,400,300,15598,150,"60, 120",21600,241,52061,51926,122,0,46981,211,0.8755,0,245.0948,2592.2891,2400,4.2133,4,1735.901,1575,6536.81789921682,6452.61314988833,2.95174979214643
"MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[78802]_[50M]_[35,60]_w[3]","MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[78802]_[50M]_[35,60]_w[3]",MANET,MaxProp,100,300,78802,50,"35,60",21600,459,3986,3972,14,399,2024,171,0.3725,0,22.2281,7412.2632,6940,2.3509,2,6473.6764,5910,6347.15922450407,6271.67619639882,1.31987464647524
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[8439]_[200M]_[25,35]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[8439]_[200M]_[25,35]_w[3]",MANET,MaxProp,400,300,8439,200,"25,35",21600,729,62767,62190,562,0,54661,585,0.8025,0,105.3077,3788.3265,3598,3.1812,3,2174.7207,1905,6369.01236752726,6416.3983304667,2.18573260880221
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[33282]_[50M]_[35,60]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[33282]_[50M]_[35,60]_w[3]",MANET,MaxProp,400,300,33282,50,"35,60",21600,460,59306,58918,373,0,53265,388,0.8435,0,150.8505,3127.982,3022,3.6005,4,1848.2626,1640,6303.08948722071,6280.84391693359,2.76867896489856
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[80454]_[50M]_[35,60]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[80454]_[50M]_[35,60]_w[3]",MANET,MaxProp,400,300,80454,50,"35,60",21600,460,58145,57750,381,0,52013,378,0.8217,0,151.7778,3245.9497,3175,3.5873,4,1874.2208,1660,6314.41610770991,6327.09820536777,2.57260449362795
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[44180]_[100M]_[25,35]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[44180]_[100M]_[25,35]_w[3]",MANET,MaxProp,600,300,44180,100,"25,35",21600,728,139549,138338,1188,0,128349,642,0.8819,0,214.4798,2503.7679,2443,3.6075,4,1461.8991,1289,6297.47787849482,6217.58186048487,3.08059853422652
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[59004]_[50M]_[5,25]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[59004]_[50M]_[5,25]_w[3]",MANET,MaxProp,600,300,59004,50,"5,25",21600,1472,158989,156432,2526,0,140136,1214,0.8247,0,127.8567,3221.3072,3036,3.084,3,1857.4747,1590,6396.87773523796,6393.46408060712,2.70672646311141
"MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[24113]_[50M]_[60, 120]_w[3]","MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[24113]_[50M]_[60, 120]_w[3]",MANET,MaxProp,100,300,24113,50,"60, 120",21600,242,3514,3503,11,210,1949,117,0.4835,0,28.9402,6975.2906,6307,2.5214,2,5458.7327,4920,6217.37406505038,6111.56304151946,1.49993854169456
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[45907]_[75M]_[60, 120]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[45907]_[75M]_[60, 120]_w[3]",MANET,MaxProp,200,300,45907,75,"60, 120",21600,240,13772,13720,48,0,11138,173,0.7208,0,78.3064,5006.3699,4897,3.3006,3,3046.5599,2715,6842.72697928298,6617.36342681483,1.7584621649618
